"month","MW"
"2016-01",886990.431692248
"2016-02",813237.536990657
"2016-03",784309.141289369
"2016-04",835224.937769024
"2016-05",920355.222630518
"2016-06",1112293.73252164
"2016-07",1232741.08320095
"2016-08",1176284.78537331
"2016-09",1098460.51450776
"2016-10",942642.010269673
"2016-11",815132.159548658
"2016-12",892933.232750164
"2017-01",881174.610943042
"2017-02",820840.646616421
"2017-03",837473.63263319
"2017-04",868525.15177889
"2017-05",970389.369287381
"2017-06",1130422.16821142
"2017-07",1236433.96942
"2017-08",1172907.48730035
"2017-09",1069991.30155427
"2017-10",934780.362613161
"2017-11",865965.5712336
"2017-12",941319.993316419
"2018-01",1009336.85051719
"2018-02",919602.625964393
"2018-03",843867.380842226
"2018-04",857820.421611233
"2018-05",1087258.342801
"2018-06",1245707.9598495
"2018-07",1277999.85422048
"2018-08",1264109.16986542
"2018-09",1082747.99145753
"2018-10",939665.966371323
"2018-11",903802.7663626
"2018-12",926072.977602774
"2019-01",961918.083690194
"2019-02",931406.130338
"2019-03",896319.05099829
"2019-04",892927.130711633
"2019-05",1033143.09451787
"2019-06",1171908.96844427
"2019-07",1265229.27710429
"2019-08",1350330.25010845
"2019-09",1242994.49210237
"2019-10",990006.761667936
"2019-11",927149.478652967
"2019-12",945511.087169032
"2020-01",936543.149547194
"2020-02",965881.434187241
"2020-03",909797.962314742
"2020-04",898540.556642833
"2020-05",1008680.24396403
"2020-06",1183188.86121247
"2020-07",1300466.471667
"2020-08",1316997.40982058
"2020-09",1093218.20664823
"2020-10",1008416.97845023
"2020-11",910446.226800633
"2020-12",977168.099024032
"2021-01",994047.271189387
"2021-02",1038429.97782554
"2021-03",881229.076300677
"2021-04",935827.2287081
"2021-05",1024904.17555452
"2021-06",1244178.33943717
"2021-07",1276046.5297829
"2021-08",1334966.06651777
"2021-09",1218536.01465443
"2021-10",1053821.50962771
"2021-11",932803.648354433
"2021-12",973348.296012258
"2022-01",1077133.89953219
"2022-02",1116675.31065093
"2022-03",982201.310802968
"2022-04",1025736.08155243
"2022-05",1239749.66071477
"2022-06",1401009.51075997
"2022-07",1482814.36551252
"2022-08",1387126.20593219
"2022-09",1247319.22353637
"2022-10",1037799.5856301
"2022-11",1039902.47748683
"2022-12",1088636.06431019
"2023-01",1036709.87361513
"2023-02",1079999.36345807
"2023-03",1024241.61456032
"2023-04",1022228.48052963
"2023-05",1175452.241931
"2023-06",1421706.086502
"2023-07",1529558.91716632
"2023-08",1620940.34178858
"2023-09",1431826.36873963
"2023-10",1141812.76237623
"2023-11",1045694.58142487
"2023-12",1073222.58880571
"2024-01",41621.968883
