"Date","Temperature_Max","Temperature_Min"
2016-01-01,4.9,1.3
2016-01-02,7,2.8
2016-01-03,12.4,-0.6
2016-01-04,9.4,-2.2
2016-01-05,10.1,0.7
2016-01-06,11.5,8
2016-01-07,17.6,6.2
2016-01-08,15.6,4.7
2016-01-09,6.8,0.4
2016-01-10,5.4,-4
2016-01-11,10.8,-0.3
2016-01-12,14.2,-2
2016-01-13,17,2.6
2016-01-14,17.5,5.8
2016-01-15,15.3,4.7
2016-01-16,9.6,1.8
2016-01-17,14.5,-0.1
2016-01-18,8.6,-3
2016-01-19,18.4,5.1
2016-01-20,16.5,-0.8
2016-01-21,12.7,3.9
2016-01-22,9.6,1
2016-01-23,16,-1.8
2016-01-24,19.8,4.9
2016-01-25,16.2,7.3
2016-01-26,7.9,2.6
2016-01-27,12.8,-0.6
2016-01-28,19,3
2016-01-29,22.9,4.2
2016-01-30,25.8,6.9
2016-01-31,23.1,10.4
2016-02-01,27.4,7.1
2016-02-02,15,6.5
2016-02-03,8.8,0.4
2016-02-04,12,-1.8
2016-02-05,14.6,1.1
2016-02-06,12.9,2.4
2016-02-07,18.7,2.5
2016-02-08,14.4,3.2
2016-02-09,19.8,1.6
2016-02-10,23.7,3.7
2016-02-11,23.8,9.8
2016-02-12,21.9,5.4
2016-02-13,24.2,6.8
2016-02-14,19.3,10
2016-02-15,20.5,7.2
2016-02-16,21.9,8.5
2016-02-17,24.6,6.2
2016-02-18,27,12.4
2016-02-19,27.6,14.1
2016-02-20,26.7,14.7
2016-02-21,20.7,13.9
2016-02-22,17.1,11.1
2016-02-23,13,6.6
2016-02-24,15.6,4.1
2016-02-25,14.1,3.4
2016-02-26,17,0.3
2016-02-27,21.7,4.8
2016-02-28,23.5,11.2
2016-02-29,25.4,8.2
2016-03-01,20.1,10.3
2016-03-02,26.7,7.8
2016-03-03,21.7,10.9
2016-03-04,24.8,6.7
2016-03-05,25.6,9.6
2016-03-06,23.6,13.3
2016-03-07,21.9,15.8
2016-03-08,25.4,14.4
2016-03-09,18.8,12.7
2016-03-10,17.5,12.2
2016-03-11,12.8,11.2
2016-03-12,19.9,10.3
2016-03-13,25.9,11.5
2016-03-14,28.5,10.8
2016-03-15,26.8,14.6
2016-03-16,24.6,8.5
2016-03-17,24,13.9
2016-03-18,21.1,8.8
2016-03-19,12.9,2.8
2016-03-20,14.5,2.7
2016-03-21,20.3,3.7
2016-03-22,26.5,9.4
2016-03-23,29.5,14.4
2016-03-24,17.9,7.4
2016-03-25,23.8,6
2016-03-26,26.2,10.1
2016-03-27,18.6,7.1
2016-03-28,22.9,5.6
2016-03-29,25.2,14.4
2016-03-30,29.7,15.7
2016-03-31,22.9,13.4
2016-04-01,14.5,6.1
2016-04-02,20.2,4.7
2016-04-03,24,6.8
2016-04-04,29,11.9
2016-04-05,29.7,14.2
2016-04-06,25,13.9
2016-04-07,29.4,11.8
2016-04-08,23.7,14.6
2016-04-09,20.4,12.3
2016-04-10,27.6,15
2016-04-11,28.8,15.6
2016-04-12,19.6,14
2016-04-13,19.9,13.3
2016-04-14,24.1,10
2016-04-15,26.5,12.5
2016-04-16,23.8,15.3
2016-04-17,19,15.3
2016-04-18,17.9,12.4
2016-04-19,22.2,14.1
2016-04-20,22.5,15.7
2016-04-21,23.6,14
2016-04-22,24.5,13.2
2016-04-23,25.4,12.5
2016-04-24,26.4,15.9
2016-04-25,30.1,16.9
2016-04-26,29.3,17.6
2016-04-27,26.1,12.6
2016-04-28,27.5,14.3
2016-04-29,29.5,18.9
2016-04-30,23.7,10.6
2016-05-01,18.8,12.6
2016-05-02,19.5,9.2
2016-05-03,22.6,7.6
2016-05-04,26.4,11.4
2016-05-05,28.2,11.9
2016-05-06,29.3,15.1
2016-05-07,30,16.5
2016-05-08,29.7,19.6
2016-05-09,29.2,18.5
2016-05-10,33.9,17.8
2016-05-11,32.2,19.4
2016-05-12,25.7,18.1
2016-05-13,28.6,17.6
2016-05-14,23.6,14.9
2016-05-15,22.9,14.2
2016-05-16,28.4,17.4
2016-05-17,25.1,15.2
2016-05-18,15.9,12.7
