"Series Key",ELEC.PRICE.TX-ALL.M,"Series Key",ELEC.PRICE.TX-RES.M,"Series Key",ELEC.PRICE.TX-COM.M,"Series Key",ELEC.PRICE.TX-IND.M
"Series Name","ELEC.PRICE.TX-ALL.M, monthly","Series Name","ELEC.PRICE.TX-RES.M, monthly","Series Name","ELEC.PRICE.TX-COM.M, monthly","Series Name","ELEC.PRICE.TX-IND.M, monthly"
Units,"cents per kilowatt-hour",Units,"cents per kilowatt-hour",Units,"cents per kilowatt-hour",Units,"cents per kilowatt-hour"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",202408,"Start Date",202408,"Start Date",202408,"Start Date",202408
"End Date",200101,"End Date",200101,"End Date",200101,"End Date",200101
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202408,10.66,202408,14.83,202408,9.14,202408,6.55
202407,10.52,202407,14.62,202407,9.2,202407,6.31
202406,10.16,202406,14.49,202406,8.95,202406,6.15
202405,9.74,202405,14.75,202405,8.52,202405,6.3
202404,9.49,202404,15.05,202404,8.7,202404,5.83
202403,9.36,202403,14.94,202403,8.66,202403,5.66
202402,9.51,202402,14.38,202402,8.5,202402,5.9
202401,9.98,202401,14.28,202401,8.72,202401,6.36
202312,9.37,202312,14.64,202312,8.51,202312,5.72
202311,9.38,202311,14.79,202311,8.49,202311,6.07
202310,9.93,202310,14.89,202310,8.82,202310,6.5
202309,10.91,202309,14.68,202309,9.23,202309,7.69
202308,11.42,202308,14.17,202308,9.74,202308,9.19
202307,10.25,202307,13.95,202307,8.85,202307,6.53
202306,10.09,202306,14.35,202306,8.68,202306,6.54
202305,9.43,202305,14.65,202305,8.45,202305,5.81
202304,8.94,202304,14.36,202304,8.09,202304,5.6
202303,9.55,202303,14.61,202303,8.71,202303,6.18
202302,10.05,202302,14.72,202302,9.05,202302,6.32
202301,10.03,202301,14.36,202301,8.86,202301,6.48
202212,10.2,202212,14.49,202212,8.86,202212,7.21
202211,9.98,202211,15.01,202211,8.85,202211,6.8
202210,10.4,202210,14.94,202210,9.33,202210,7.05
202209,10.91,202209,14.75,202209,9.61,202209,7.59
202208,11.01,202208,14.12,202208,9.94,202208,7.71
202207,11.19,202207,13.71,202207,9.77,202207,8.64
202206,10.53,202206,13.49,202206,9.58,202206,7.42
202205,10.22,202205,13.34,202205,9.18,202205,7.95
202204,9.25,202204,13.29,202204,8.31,202204,6.75
202203,9.18,202203,13.01,202203,8.29,202203,6.35
202202,9.21,202202,12.48,202202,8.27,202202,6.03
202201,8.8,202201,12.45,202201,7.77,202201,5.67
